vedette	inversée	étymologie avec grec
mydèse	esèdym	deαυίάω, être humide
myélatélie	eilétaléym	de μυελός, moelle, et άτελτς, incomplet
myélencéphale	elahpécneléym	de μυελός, moelle, ete^cé- Phalê
myéline	eniléym	de μυελός, moelle
myélique	euqiléym	de μυελός, moelle
myélite	etiléym	de μυελός, moelle 
myélocone	enocoléym	de μυελός, moelle, et κονις, poussière
myélocyte	etycoléym	de μυελός, moelle, et κύτος, masse, corps ou cellule; granule du cerveau, noyau de cellules de la substance grise, noyau et cellule Propres des tissus cérébral et rétinien
myéloïde	edïoléym	de μυελός, moelle, et ειίος, forme
myélokystiqee	eeqitsykoléym	de μυελός, moelle, et kyste
myélomalacie	eicalamoléym	de μυελός, moelle, et μαλακός, mou
myélome	emoléym	de μυελός, moelle
myéloplaxe	exalpoléym	de μυελός, moelle, et πλάξ, plaque, lamelle
myélosarcome	emocrasoléym	de μυελός, moelle, et σάρκωμα, excroissance charnue
myélosclérose	esorélcsoléym	de μυελός, moelle, et σκλχρωσις, endurcissement; sclérose de la moelle épinière, sclérose en plaques, atrophie grise ou dégénérescence grise de la moelle
myiasis	sisaiym	de μυϊα, mouche
myiocéphale	elahpécoiym	de μυΐα, mouche, et ζεφαλτ,, tête
myiodopsie	eispodoiym	de μυιώί^ς, semblable aux mouches, et όψις, vue
myitis	sitiym	de μϋς, muscle
mylacéphale	elahpécalym	de μύλη, môle, masse informe, a privatif, et ζεφαλ-η, tête
mylo-glosse	essolg-olym	de μύλοι, les dents molaires, et γλώσσα, la langue
mylo-hyoïdien	neidïoyh-olym	de μύλος les dents molaires, et ύοειίτ,ς, l’os hyoïde
myloïde	edïolym	de [χόλος, dent molaire
myocardite	etidracoym	de ρ-ΰς, muscle, et xx^la, cœur;
myocèle	elècoym	dep-ϋς, muscle, βίκτ'λη, tumeur
myochronoscope	epocsonorhcoym	de μΰς, μυος, muscle, χρόνος, temps, et σκοπειν, examiner
myocœlite	etilœcoym	de μΰς, muscle, et κοιλία, bas-ventre
myodémie	eimédoym	de ρ.ϋς, muscle, et ίτ^άς, graisse
myodésopsie	eisposédoym	de μυιώ^ης, semblable aux mouches, et όψις, vue;
myodynie	einydoym	de μΰς, muscle, et c^ôvx, douleur 
myogénie	einégoym	de μΰς, muscle, et γεννάν, engendrer
myognathe	ehtangoym	de μΰς, muscle, et γνάθος, mâchoire
myographe	ehpargoym	de μΰς, muscle, et γράφειν, tracer
myographie	eihpargoym	de μΰς, muscle, et γεαφτ, description
myoïde	edïoym	de μϋς, muscle, et εΐ-ίες, forme
myolemme	emmeloym	de μ.ϋς, muscle, et λεμμα, pelure, enveloppe
myologie	eigoloym	de μϋς, muscle, et λο'γος, discours
myomalacie	eicalamoym	de μϋς, muscle, είμαλακία, ramollissement
myomètre	ertèmoym	de μϋς, μυες, muscle, et μέτρεν, mesure
myoœdéme	emédœoym	de μϋς, muscle, et gonflement; hyperesthésie idio-musculaire, Lawson Tait
myopie	eipoym	de μύειν, cligner, et ώψ, œil 
myoplastique	euqitsalpoym	de μϋς, muscle, et πλαστικά, plastique
myosclérose	esorélcsoym	de μϋς, muscle, et σκλχρωσις, induration
myose	esoym	de μύειν, cligner l’œil
myotilité	étilitoym	de μϋς, muscle, sur le modèle de motilité;
myotome	emotoym	de μϋς, muscle, et τε'μνειν, couper 
myotomie	eimotoym	de μϋς, muscle, et τεμχ, section 
myotomique	euqimotoym	de μϋς, muscle, et τεμχ, section
myotyrbe	ebrytoym	de μϋς, muscle, είτύρβζ, trouble
myringite	etignirym	de miringa, nom de la membrane du tympan, dans la latinité barbare ; miringa se disait aussi des membranes du cerveau; miringa est une corruption de αχνιγξ
myriopode	edopoirym	de [χυρίος, innombrable, et ποΰς, pied
myrmécie	eicémrym	de αύρρίξ, fourmi 
myrobalan	nalaborym	de j-ôpcv, onguent, et βάλανος, gland : mot à mot, gland à parfum 
myure	eruym	de μϋς, rat, et ούρα, queue 
myxagène	enègaxym	de μύξα, mucosité
myxoïde	edïoxym	de αύξα, mucosité, et εΐίες forme
myxome	emoxym	de ρώξα, mucosité
myxomycète	etècymoxym	de αύξα, mucosité, et μϋχ-ί,ς, champignon
myxosarcome	emocrasoxym	de μύξα, mucus, et σάρξ, chair
nanocéphalie	eilahpéconan	de νάνος, nain, et κεφαλή, tète
nanocormie	eimroconan	de νάνος, nain, et κορμός, tronc
nanomélie	eilémonan	de νάνος, nain, et μέλος, membre
nanosomie	eimosonan	de νάνος, nain, et σώμα, corps
narcéine	eniécran	de νάρκη, assoupissement
narcotine	enitocran	de νάρκη, assoupissement
narcotique	euqitocran	de νάρκη, assoupissement 
naupathie	eihtapuan	devaù;, navire, et πάθος, affection
nausée	eésuan	ναυτία, envie de vomir, de ναΰς, vaisseau
néarthrose	esorhtraén	de νέος, nouveau, et άρθρον, articulation
nécrobiose	esoiborcén	de νεκρές, mort, et βίωσις, l’action de vivre
nécrogène	enègorcén	de νεκρός, mort, et γενεσις, naissance
nécromancie	eicnamorcén	de νεκρός, mort, et μαντεία, divination
nécrocome	emocorcén	de νεκρός, mort, et κεμεϊν, prendre soin
nécropathie	eihtaporcén	de νεκρός, mort, et πάθος, affection
nécrophobie	eibohporcén	de νεκρές, mort, et φόβος, crainte; mauvais mot, il faudrait dire thanatoPhobie; nécrophobie signifie crainte des morts;
nécropsie	eisporcén	de νεκρός, cadavre, et όψις, vue
nécropsie	eisporcén	de νεκρός, cadavre, et σκοπεϊν, examiner
nécrose	esorcén	de νεκρός, mort
nécrosémiotique	euqitoimésorcén	de νεκρός, mort, et σημεΐεν, signe
nécrostéose	esoétsorcén	de νεκρός, mort, et εστέεν, os
nécrotomie	eimotorcén	de νεκρός, mort, et τομή, dissection
nématoïdes	sedïotamén	de νήμα, fil, βίει^ος, forme
némoblaste	etsalbomén	de νήμα, fil, et βλαστός, germe
néogala	alagoén	de νε'ες, nouveau, et γάλα, lait
néomélie	eilémoén	de νέος, jeune, et μελειν, avoir soin
néoménie	einémoén	de νέος, nouveau, et μην, mois, lune
néoplasie	eisalpoén	de vscç, nouveau, et πλάσε;, formation
néoplasme	emsalpoén	de νέος, nouveau, et πλάσσειν, former
néoplastie	eitsalpoén	de νέος, nouveau, et πλάσσει·/, former
népenthès	sèhtnepén	de νη, particule négative, et de πένθος, deuil, affliction
néphélion	noiléhpén	de νεφέλη, nuage, brouillard
néphralgie	eiglarhpén	de νεφρό;, rein, et άλγος, douleur;
néphrelminthique	euqihtnimlerhpén	deveφρός, rein, et ελμίνς, ver
néphremphraxis	sixarhpmerhpén	de νεφρός, rein, et έμφράσσω, j’obstrue
néphridion	noidirhpén	de νεφρός, rein
néphrite	etirhpén	de νεφρός, rein 
néphrocèle	elècorhpén	deνεφρός, rein, et κήλη, tumeur;
nephrographie	eihpargorhpen	de νεφρός, rein, et γραφή, description 
néphrolithe	ehtilorhpén	de νεφρός, rein, et λίθος, pierre
nephrolithiase	esaihtilorhpen	de νεφρός, rein, et λιθίασις, lithiase
néphrolithique	euqihtilorhpén	de νεφρός, rein, et λίθος, pierre
néphrologie	eigolorhpén	de νεφρός rein, et λογος, discours
néphrophlegmasie	eisamgelhporhpén	de νεφρός, rein, etphlegmasie
néphrophlegmatique	euqitamgelhporhpén	de νεφρός, rein, et φλε'γμα, mucus
néphroplégique	euqigélporhpén	de νεφρός, rein, et πλήσσειν, frapper
néphropléthorique	euqirohtélporhpén	de νεφρός, rein, et πληθώρα, pléthore 
néphropyique	euqiyporhpén	de νεφρός, rein, et πύον, pus 
néphropyose	esoyporhpén	de νεφρός, rein, et πϋον, pus, ou πύωσις, suppuration
nephrorrhagie	eigahrrorhpen	de νεφρός, rein, et ραγεϊν, sortir avec violence
néphrospastique	euqitsapsorhpén	de νεφρός, rein, et σπάω, je resserre
néphrothromroïde	edïormorhtorhpén	de νεφρός, rein, et θρόμβος, caillot
néphrotomie	eimotorhpén	de νεφρός, le rein, et τομή, section
neurolysie	eisyloruen	de Vèûjov, nerf, et λύσις, relâchement
névragmiè	èimgarvén	de νεϋρεν, nerf, et άγμός fracture
névralgie	eiglarvén	de νεϋθον, nerf, et άλγος, douleur
névraxe	exarvén	[???] nerf, et άξων, axe
névrilème	emèlirvén	de νεύρου, nerf, et εϊ/αμα, enveloppe
névrite	etirvén	de νεΰρον, nerf
névroglie	eilgorvén	de νεΰρον, nerf, etγλία,glu
névrographie	eihpargorvén	de νεΰρον, nerf, et γραφή, description 
névro-hypnologie	eigolonpyh-orvén	de νεΰρον, nerf, ύπνος, sommeil, et λόγος, traité
névrologie	eigolorvén	de νεϋρον, nerf, et λόγος, discours 
névrome	emorvén	de νεΰρον, nerf
névromimosie	eisomimorvén	de νεϋρον, nerf, et μιμέομαι, j’imite
névromyalgie	eiglaymorvén	de νεΰρον, nerf, μυς, muscle, et άλγος, douleur
névropathie	eihtaporvén	de νεΰρον, nerf, et πάθος, affection
névrophonie	einohporvén	de νεΰρον, nerf, et φωνή, voix
névrophlogose	esogolhporvén	de νεΰρον, nerf, et phlogose
névroplastie	eitsalporvén	de νεΰρον, nerf, et πλάσσειν, former
névroptères	serètporvén	de νεΰρον, nervure, et πτερον, aile
névrosclérose	esorélcsorvén	de νεΰρον, nerf, et sclérose
névrosthénie	einéhtsorvén	de νεύρου, nerf, et σθένος, force
névrothèle	elèhtorvén	de νεύρον, nerf, etôrAi, papille
névrotomie	eimotorvén	de νεΰρον, nerf, et τε'μνειν,disséquer, couper
nitrogène	enègortin	de nitre, et γεννάν, produire;
nitrostyfhnique	euqinhfytsortin	de στυονος, astringent
nodus	sudon	de nodus, nœud; πώρος
noma	amon	de νέμειν, ronger,
noologie	eigoloon	de intelligence, et λόγος, traité
nosencéphale	elahpécneson	de Ίύαυς, maladie, et εγκέφαλος, encéphale;
nosochthonologie	eigolonohthcoson	de νόσος, maladie, χθων, terre, et λόγος, doctrine
nosocome	emocoson	de νόσος maladie, et κομεϊν, soigner
nosocratique	euqitarcoson	de νόσος, maladie, et κρατε'ω, je domine
nosogénie	einégoson	de. νόσος, maladie, et γεννάω, j’engendre;
nosographie	eihpargoson	de νόσος, maladie, et γράφε», décrire
nosohémie	eiméhoson	de νόσος, maladie, et αίμα, sang
nosologie	eigoloson	de νόσος, maladie, et λόγος, discours
nosomanie	einamoson	de νόσος, maladie, et μανία, manie
nosophobie	eibohposon	de νόσος, maladie, et φόβος, crainte
nosophore	erohposon	de νόσος, maladie, et φορος, qui porte
nosophthobie	eibohthposon	de νόσος, maladie, et φθόρα, destruction
nosopoétique	euqitéoposon	de νόσος, maladie, et ποιειν, faire
nostalgie	eiglatson	de νόστος, retour, et άλγος, tristesse
notalgie	eiglaton	de νώτες, dos, et άλγος, douleur
notencéphale	elahpécneton	de νώτες, dos, et.εγκέφαλος, cerveau
notocorde	edrocoton	de νώτος, dos, et cordé
notogastre	ertsagoton	de νωτος, dos, et γασττφ, ventre
notomèle	elèmoton	deväror, dos, et μέλος, membre;
notomyélite	etiléymoton	de νώτος, dos, et myélite
notonecte	etcenoton	de νώτος, dos, et νηκτος, qui nage
notophore	erohpoton	de νώτος, dos, et φοράς, qui porte
notorrhize	ezihrroton	de νώτες, dos, et ρίζα, racine
nychthémère	erèméhthcyn	de νυξ, nuit, et ημέρα, jour
nyctalopie	eipolatcyn	de νυξ, nuit, et ώψ, œil (la lettre l est purement euphonique, comme dans héméralopie)
nyctotyphlose	esolhpytotcyn	de νύξ, nuit, et τυφλός, aveugle
nymphomanie	einamohpmyn	de νύμφη, nymphe, et μανία, manie
nymphotomie	eimotohpmyn	de νύμφη, nymphe, et τομή, section
oariule	eluirao	de ώάριον, petit œuf, et ουλή, cicatrice; corps jaune (corpus luteum)
obstipité	étipitsbo	de obstipus, penché, courbé; σχελίωσις
obstruction	noitcurtsbo	de obstruere, boucher; obturatio, infarctus, έ'μφραξις
ochre	erhco	de ωχρός, pâle
ochthiasis	sisaihthco	de όχθες, saillie
octandre	erdnatco	de οκτώ, huit, et άνηρζ?, homme
octogyne	enygotco	de οκτώ, huit, et γυνή, femme 
ocytocique	euqicotyco	de ώκυς, prompt, et τόκος, accouchement
odaxesme	emsexado	de βίαξάν, être mordicant
odontagogue	eugogatnodo	de βίους, dent, et άγειν, pousser, tirer
odontagre	ergatnodo	de βίους, βίοντος, dent, et άγρα, saisie, capture
odontalgie	eiglatnodo	de βίους, gén. βίοντος, dent, et άλγος, douleur
odontalgique	euqiglatnodo	de βίους, dent, et άλγος, douleur
odontiase	esaitnodo	de βίους, dent
odontite	etitnodo	de βίους, dent
odontogénie	einégotnodo	de βίους, dent, et γενεσις, génération
odontolithe	ehtilotnodo	de βίους, dent, et λίθος, pierre
odontologie	eigolotnodo	de βίους, gén. βίοντος, dent, et λογος, discours
odontome	emotnodo	de βίους, dent, ét de la terminaison orne
odontophyie	eiyhpotnodo	de βίοντοφυΐα, dé βίους, gén. βίοντος dent, et φύειν, naître, croître
odontorrhagie	eigahrrotnodo	de βίους, βίούτος, dent, et ραγεΐν, faire éruption
odontotechnie	einhcetotnodo	de βίους, gén. βίο\-ος, dent, et ilyPn, art
odontothèque	euqèhtotnodo	de βίους, dent, et θτ.κη, loge
odynopoétique	euqitéoponydo	de δίύνη, douleur, et ποιεϊν, faire
œdalique	euqiladœ	οίίαλε'ος, gonflé
œdème	emèdœ	de οίίεΐν, grossir, se gonfler
œnanthine	enihtnanœ	de οινάνθ/;, fleur de vigne, de οίνος, vin, vigne, et άνθος, fleur
œnanthique	euqihtnanœ	de οίνάνθη, fleur de vigne
œnéléon	noélénœ	de οίνος, vin, et ελαιον, huile
œnogala	alagonœ	de οίνος, vin, et γάλα, lait
œnolature	erutalonœ	de οίνος, vin
œnomanie	einamonœ	de οίνος, vin, et μανία, manie
œnomel	lemonœ	de οίνος, vin, et με'λι, miel
œnothionique	euqinoihtonœ	de οίνος, vin, et θειον, soufre
œsophage	egahposœ	de οισέιν, porter, et φαγεϊν, manger
œsophagotomie	eimotogahposœ	de οισοφάγος, l’œsophage, et τομή, incision
œstre	ertsœ	de οίστρος, taon 
œstromanie	einamortsœ	de οίστρος, taon, fureur, et μανία, folie
olécrânarthrocace	ecacorhtranârcélo	de δλέκρανον, l’olécrâne, άρθ^ον, articulation, et xixc, vice ou maladie
olécrane	enarcélo	de ωλένη, coude, et κάρηνον, tête, c’est-à-dire tête du coude
oligaimie	eimiagilo	de ολίγος, peu, et αίμα, sang
oligocéphale	elahpécogilo	de ολίγος, peu, et κεφαλή, tête
oligochyle	elyhcogilo	de ολίγος, peu, et χυλός, suc
oligocythémie	eiméhtycogilo	de ολίγος, peu, κύτος, globule, et αίμα, sang
oligophylle	ellyhpogilo	de ολίγος, peu, et φύλλ.ον, feuille
